MutantSet
Field,Value
GlobalPath,None
NumberOfMutants,94

Mutants
"Mutant ID","Mutant Type","Mutant Path","CompilationUnit Path","Line Number","isSubsuming","Number of Failed Tests","Subsumes","SubsumedBy","MutuallySubsuming"
0,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\1.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,473,True,1,7;51;8;11;13;6;9,,
1,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\10.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,6,88;7;8;11;66;13;77;6;9,59;88;89;52;53;22;33;44;54;55;66;56;77;14;86;87;58;16,66;77;88
2,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\11.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,421,True,2,4;7;8;3;11;5;6;9,3;5;4,3;5;4
3,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\12.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,421,True,2,4;7;8;11;5;2;6;9,2;4;5,2;4;5
4,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\13.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,408,True,2,7;8;3;11;5;2;6;9,3;2;5,3;2;5
5,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\14.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,408,True,2,4;7;8;3;11;2;6;9,3;2;4,3;2;4
6,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\15.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,385,False,9,7;11;8;9,51;52;53;11;54;55;13;56;14;58;16;59;22;66;8;33;77;0;2;9;1;4;7;3;86;44;5;87;88;89,7;11;8;9
7,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\16.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,382,False,9,11;8;6;9,51;52;53;11;54;55;13;56;14;58;16;59;22;66;8;33;77;0;2;9;1;4;3;86;44;5;87;88;89;6,11;8;6;9
8,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\17.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,382,False,9,7;11;6;9,51;52;53;11;54;55;13;56;14;58;16;59;22;66;33;77;0;2;9;1;4;7;3;86;44;5;87;88;89;6,7;11;6;9
9,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\18.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,382,False,9,7;11;8;6,51;52;53;11;54;55;13;56;14;58;16;59;22;66;8;33;77;0;2;1;4;7;3;86;44;5;87;88;89;6,7;11;8;6
10,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\19.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,238,False,0,,,
