,m1,m2,m3,m7,m11,m13,m15,m19,m21,m22,m23,m24,m25,m27,m28,m44,m45,m46,m48,m49,m50,m51,m52,m53,m55,m56,m57,m60,m63,m92,m93, ,
133,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,9
191,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,5
168,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,4
185,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,3
189,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2
207,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2
114,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
118,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
covered,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
