,m1,m19,m23,m24,m25,m27,m44,m45,m48,m51,m60
100,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0
114,0,0,1,0,0,0,0,0,0,0,0
118,0,0,0,1,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,1
203,0,0,1,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,1,0,0,0,0,0
209,0,0,0,0,0,1,0,0,0,0,0
215,0,0,1,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0
280,1,0,0,0,0,0,0,0,0,0,0
284,1,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,1,0,0,0,0,0,0
241,0,0,0,0,1,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0
133,0,1,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,1,0
175,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,1,0,0
189,0,0,0,0,0,0,0,1,0,0,0
191,0,0,0,0,0,0,1,0,0,0,0
