Mutants,Delta 0,Delta 1,Delta 2
M1,36;37,Empty,36;37,
M2,3;4;5;6;7;8;1;23;24;25;26;27;28;29;30;33;34;35;36;37;2;9;10;31;32;11;12;13;14;15;16;17;18;19;20;21;22,Empty,3;4;5;6;7;8;1;23;24;25;26;27;28;29;30;33;34;35;36;37;2;31;32;11;12;13;14;15;16;17;18;19;20;21;22,
M7,3;4;5;6;7;8;1;23;24;25;26;27;28;29;30;33;34;35;2;9;10;11;12,Empty,3;4;5;6;7;8;1;23;24;25;26;27;28;29;30;33;34;35;2;11;12,
M8,3;4;5;6;7;8;1;23;24;25;26;27;28;29;30;33;34;35;2;11;12,Empty,3;4;5;6;7;8;1;23;24;25;26;27;28;29;30;33;34;35;2;11;12,
M11,31;32;15;16,Empty,31;32;15;16,
M13,31;32;13;14,Empty,31;32;13;14,
M19,12,12,12,
M21,4;5;6;8;1;23;24;25;26;27;28;29;30;33;34;35;37;2;9;10;11;12,Empty,4;5;6;8;1;23;24;25;26;27;28;29;30;33;34;35;37;2;11;12,
M22,4;5;6;7;8;23;24;25;26;27;28;29;30;33;34;35;9;10;11;12,7;23;27,4;5;6;7;8;23;24;25;26;27;28;29;30;33;34;35;11;12,
M23,7;23;27,7;23;27,7;23;27,
M24,8,Empty,8,
M25,31;32,31;32,31;32,
M27,25;26,25;26,25;26,
M28,25;26,25;26,25;26,
M44,22,22,22,
M45,21,21,21,
M46,21;22,21;22,21;22,
M48,20,20,20,
M49,18;20,18;20,18;20,
M50,18;19;20,18,18;19;20,
M51,16,16,16,
M52,15;16,15;16,15;16,
M53,13;14;15;16,13;14;15;16,13;14;15;16,
M55,13;14;15;16,13;14;15;16,13;14;15;16,
M56,7;8;1;23;27;33;34;35;37;2;9;10;11;12,7;23;27,7;8;1;23;27;33;34;35;37;2;11;12,
M57,9;10;11;12,Empty,11;12,
M60,1;2,Empty,1;2,
M63,5;6;8;9;10;11;12,Empty,5;6;8;11;12,
M74,9;10,Empty,Empty,
M92,22,22,22,
M93,21,21,21,
