Test Suite Subset, Number of Killed Mutants, Mutants,,,,,,,,,,,,,,
T1,30,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T2,29,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92,,,,,,,,,,,,,,
T3,28,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M25;M27;M28;M44;M45;M46;M49;M50;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T4,30,M1;M2;M7;M8;M11;M13;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,1
T5,28,M1;M2;M7;M8;M11;M13;M21;M22;M23;M24;M25;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T6,29,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T7,28,M1;M2;M7;M8;M11;M13;M19;M21;M22;M24;M25;M27;M28;M44;M45;M46;M49;M50;M51;M52;M53;M55;M56;M57;M63;M74;M92;M93,,,,,,,,,,,,,,
T8,30,M1;M2;M7;M8;M11;M13;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T9,30,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T10,30,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T11,23,M1;M2;M7;M8;M11;M13;M21;M22;M23;M24;M25;M27;M28;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63,,,,,,,,,,,,,,
T12,25,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M25;M27;M28;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74,,,,,,,,,,,,,,
T13,25,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M27;M28;M44;M46;M49;M50;M52;M53;M55;M56;M57;M63;M74;M92,,,,,,,,,,,,,,
T14,27,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M25;M27;M28;M45;M46;M48;M49;M50;M52;M53;M55;M56;M57;M60;M63;M74;M93,,,,,,,,,,,,,,
T15,28,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M46;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92,,,,,,,,,,,,,,
T16,31,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T17,31,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T18,31,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T19,31,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
T20,31,M1;M2;M7;M8;M11;M13;M19;M21;M22;M23;M24;M25;M27;M28;M44;M45;M46;M48;M49;M50;M51;M52;M53;M55;M56;M57;M60;M63;M74;M92;M93,,,,,,,,,,,,,,
